onet_name,onetsoccode,occ1990dd,occ1990dd_title,occ,acs,acs_title,_merge_acs,_merge_occdd
Dental Assistants,31-9091.00,445.0,Dental Assistants,3640,319091,Dental Assistants,3,3
Medical Assistants,31-9092.00,447.0,Health and nursing aides,3645,319092,Medical Assistants,3,3
Medical Transcriptionists,31-9094.00,447.0,Health and nursing aides,3646,319094,Medical Transcriptionists,3,3
Pharmacy Aides,31-9095.00,447.0,Health and nursing aides,3647,319095,Pharmacy Aides,3,3
Veterinary Assistants and Laboratory Animal Caretakers,31-9096.00,447.0,Health and nursing aides,3648,319096,Veterinary Assistants and Laboratory Animal Caretakers,3,3
Phlebotomists,31-9097.00,447.0,Health and nursing aides,3649,319097,Phlebotmists,3,3
Speech-Language Pathology Assistants,31-9099.01,447.0,Health and nursing aides,3655,31909X,,3,3
Medical Equipment Preparers,31-9093.00,447.0,Health and nursing aides,3655,31909X,,3,3
Endoscopy Technicians,31-9099.02,447.0,Health and nursing aides,3655,31909X,,3,3
First-Line Supervisors of Correctional Officers,33-1011.00,418.0,"Police and detectives, public service",3700,331011,First-Line Supervisors of Correctional Officers,3,3
First-Line Supervisors of Police and Detectives,33-1012.00,414.0,"Supervisors, police and detectives",3710,331012,First-Line Supervisors of Police and Detectives,3,3
Municipal Fire Fighting and Prevention Supervisors,33-1021.01,413.0,"Supervisors, firefighting and fire prevention occupations",3720,331021,First-Line Supervisors of Fire Fighting and Prevention Workers,3,3
Forest Fire Fighting and Prevention Supervisors,33-1021.02,413.0,"Supervisors, firefighting and fire prevention occupations",3720,331021,First-Line Supervisors of Fire Fighting and Prevention Workers,3,3
Forest Firefighters,33-2011.02,417.0,"Fire inspection, fire fighting, and fire prevention occupations",3740,332011,Firefighters,3,3
Municipal Firefighters,33-2011.01,417.0,"Fire inspection, fire fighting, and fire prevention occupations",3740,332011,Firefighters,3,3
Fire Inspectors,33-2021.01,417.0,"Fire inspection, fire fighting, and fire prevention occupations",3750,332020,Fire Inspectors,3,3
Forest Fire Inspectors and Prevention Specialists,33-2022.00,417.0,"Fire inspection, fire fighting, and fire prevention occupations",3750,332020,Fire Inspectors,3,3
Fire Investigators,33-2021.02,417.0,"Fire inspection, fire fighting, and fire prevention occupations",3750,332020,Fire Inspectors,3,3
Correctional Officers and Jailers,33-3012.00,423.0,"Sheriffs, bailiffs, correctional institution officers",3800,333010,"Bailiffs, Correctional Officers, and Jailers",3,3
Bailiffs,33-3011.00,423.0,"Sheriffs, bailiffs, correctional institution officers",3800,333010,"Bailiffs, Correctional Officers, and Jailers",3,3
Immigration and Customs Inspectors,33-3021.05,418.0,"Police and detectives, public service",3820,333021,Detectives and Criminal Investigators,3,3
Police Identification and Records Officers,33-3021.02,418.0,"Police and detectives, public service",3820,333021,Detectives and Criminal Investigators,3,3
Criminal Investigators and Special Agents,33-3021.03,418.0,"Police and detectives, public service",3820,333021,Detectives and Criminal Investigators,3,3
Police Detectives,33-3021.01,418.0,"Police and detectives, public service",3820,333021,Detectives and Criminal Investigators,3,3
Intelligence Analysts,33-3021.06,418.0,"Police and detectives, public service",3820,333021,Detectives and Criminal Investigators,3,3
Fish and Game Wardens,33-3031.00,423.0,"Sheriffs, bailiffs, correctional institution officers",3840,3330XX,Miscellaneous law enforcement workers,3,3
Parking Enforcement Workers,33-3041.00,423.0,"Sheriffs, bailiffs, correctional institution officers",3840,3330XX,Miscellaneous law enforcement workers,3,3
Police Patrol Officers,33-3051.01,418.0,"Police and detectives, public service",3850,333050,Police Officers,3,3
Sheriffs and Deputy Sheriffs,33-3051.03,418.0,"Police and detectives, public service",3850,333050,Police Officers,3,3
Transit and Railroad Police,33-3052.00,418.0,"Police and detectives, public service",3850,333050,Police Officers,3,3
Animal Control Workers,33-9011.00,427.0,"Protective service, n.e.c.",3900,339011,Animal Control Workers,3,3
Private Detectives and Investigators,33-9021.00,426.0,"Guards and police, except public service",3910,339021,Private Detectives and Investigators,3,3
Security Guards,33-9032.00,426.0,"Guards and police, except public service",3930,339030,Security Guards and Gaming Surveillance Officers,3,3
Gaming Surveillance Officers and Gaming Investigators,33-9031.00,426.0,"Guards and police, except public service",3930,339030,Security Guards and Gaming Surveillance Officers,3,3
Crossing Guards,33-9091.00,425.0,Crossing guards,3940,339091,Crossing Guards,3,3
Transportation Security Screeners,33-9093.00,799.0,"Production checkers, graders, and sorters in manufacturing",3945,339093,Transportation Security Screeners,3,3
Retail Loss Prevention Specialists,33-9099.02,427.0,"Protective service, n.e.c.",3955,33909X,,3,3
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092.00,427.0,"Protective service, n.e.c.",3955,33909X,,3,3
Chefs and Head Cooks,35-1011.00,436.0,Cooks,4000,351011,Chefs and Head Cooks,3,3
First-Line Supervisors of Food Preparation and Serving Workers,35-1012.00,433.0,Supervisors of food preparation and service,4010,351012,First-Line Supervisors of Food Preparation and Serving Workers,3,3
"Cooks, Short Order",35-2015.00,436.0,Cooks,4020,352010,Cooks,3,3
"Cooks, Restaurant",35-2014.00,436.0,Cooks,4020,352010,Cooks,3,3
"Cooks, Institution and Cafeteria",35-2012.00,436.0,Cooks,4020,352010,Cooks,3,3
"Cooks, Fast Food",35-2011.00,436.0,Cooks,4020,352010,Cooks,3,3
"Cooks, Private Household",35-2013.00,436.0,Cooks,4020,352010,Cooks,3,3
Food Preparation Workers,35-2021.00,439.0,Food preparation workers,4030,352021,Food Preparation Workers,3,3
Bartenders,35-3011.00,434.0,Bartenders,4040,353011,Bartenders,3,3
"Combined Food Preparation and Serving Workers, Including Fast Food",35-3021.00,444.0,Miscellanious food preparation and service workers,4050,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",3,3
Baristas,35-3022.01,444.0,Miscellanious food preparation and service workers,4060,353022,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",3,3
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-3022.00,444.0,Miscellanious food preparation and service workers,4060,353022,"Counter Attendant, Cafeteria, Food Concession, and Coffee Shop",3,3
Waiters and Waitresses,35-3031.00,435.0,Waiters and waitresses,4110,353031,Waiters and Waitresses,3,3
"Food Servers, Nonrestaurant",35-3041.00,444.0,Miscellanious food preparation and service workers,4120,353041,"Food Servers, Nonrestaurant",3,3
Dining Room and Cafeteria Attendants and Bartender Helpers,35-9011.00,444.0,Miscellanious food preparation and service workers,4130,3590XX,Miscellaneous food preparation and serving related workers including dining room and cafeteria attendants and bartender helpers,3,3
Dishwashers,35-9021.00,444.0,Miscellanious food preparation and service workers,4140,359021,Dishwashers,3,3
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-9031.00,444.0,Miscellanious food preparation and service workers,4150,359031,"Host and Hostesses, Restaurant, Lounge, and Coffee Shop",3,3
First-Line Supervisors of Housekeeping and Janitorial Workers,37-1011.00,448.0,Supervisors of cleaning and building service,4200,371011,First-Line Supervisors of Housekeeping and Janitorial Workers,3,3
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012.00,450.0,"Superv. of landscaping, lawn service, groundskeeping",4210,371012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",3,3
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011.00,453.0,Janitors,4220,37201X,,3,3
Maids and Housekeeping Cleaners,37-2012.00,405.0,"Housekeepers, maids, butlers, and cleaners",4230,372012,Maids and Housekeeping Cleaners,3,3
Pest Control Workers,37-2021.00,455.0,Pest control occupations,4240,372021,Pest Control Workers,3,3
Tree Trimmers and Pruners,37-3013.00,451.0,Gardeners and groundskeepers,4250,373010,Grounds Maintenance Workers,3,3
Landscaping and Groundskeeping Workers,37-3011.00,451.0,Gardeners and groundskeepers,4250,373010,Grounds Maintenance Workers,3,3
"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-3012.00,451.0,Gardeners and groundskeepers,4250,373010,Grounds Maintenance Workers,3,3
Gaming Supervisors,39-1011.00,22.0,"Managers and administrators, n.e.c.",4300,391010,First-Line Supervisors of Gaming Workers,3,3
Slot Supervisors,39-1012.00,22.0,"Managers and administrators, n.e.c.",4300,391010,First-Line Supervisors of Gaming Workers,3,3
Spa Managers,39-1021.01,470.0,"Supervisors of personal service jobs, n.e.c",4320,391021,First-Line Supervisors of Personal Service Workers,3,3
First-Line Supervisors of Personal Service Workers,39-1021.00,470.0,"Supervisors of personal service jobs, n.e.c",4320,391021,First-Line Supervisors of Personal Service Workers,3,3
Animal Trainers,39-2011.00,479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",4340,392011,Animal Trainers,3,3
Nonfarm Animal Caretakers,39-2021.00,472.0,"Animal caretakers, except farm",4350,392021,Nonfarm Animal Caretakers,3,3
Gaming and Sports Book Writers and Runners,39-3012.00,459.0,Recreation facility attendants,4400,393010,Gaming Services Workers,3,3
Gaming Dealers,39-3011.00,459.0,Recreation facility attendants,4400,393010,Gaming Services Workers,3,3
Motion Picture Projectionists,39-3021.00,467.0,Motion picture projectionists,4410,393021,Motion Picture Projectionists,3,3
"Ushers, Lobby Attendants, and Ticket Takers",39-3031.00,462.0,Ushers,4420,393031,"Ushers, Lobby Attendants, and Ticket Takers",3,3
Costume Attendants,39-3092.00,459.0,Recreation facility attendants,4430,393090,Miscellaneous Entertainment Attendants and Related Workers,3,3
Amusement and Recreation Attendants,39-3091.00,459.0,Recreation facility attendants,4430,393090,Miscellaneous Entertainment Attendants and Related Workers,3,3
"Locker Room, Coatroom, and Dressing Room Attendants",39-3093.00,459.0,Recreation facility attendants,4430,393090,Miscellaneous Entertainment Attendants and Related Workers,3,3
Funeral Attendants,39-4021.00,469.0,"Personal service occupations, n.e.c",4460,3940XX,,3,3
Embalmers,39-4011.00,469.0,"Personal service occupations, n.e.c",4460,3940XX,,3,3
"Morticians, Undertakers, and Funeral Directors",39-4031.00,19.0,Funeral directors,4465,394031,"Morticians, Undertakers, and Funeral Directors",3,3
Barbers,39-5011.00,457.0,Barbers,4500,395011,Barbers,3,3
"Hairdressers, Hairstylists, and Cosmetologists",39-5012.00,458.0,Hairdressers and cosmetologists,4510,395012,"Hairdressers, Hairstylists, and Cosmetologists",3,3
"Makeup Artists, Theatrical and Performance",39-5091.00,458.0,Hairdressers and cosmetologists,4520,395090,Miscellaneous Personal Appearance Workers,3,3
Manicurists and Pedicurists,39-5092.00,458.0,Hairdressers and cosmetologists,4520,395090,Miscellaneous Personal Appearance Workers,3,3
Skincare Specialists,39-5094.00,458.0,Hairdressers and cosmetologists,4520,395090,Miscellaneous Personal Appearance Workers,3,3
Shampooers,39-5093.00,458.0,Hairdressers and cosmetologists,4520,395090,Miscellaneous Personal Appearance Workers,3,3
Baggage Porters and Bellhops,39-6011.00,464.0,"Baggage porters, bellhops and concierges",4530,396010,"Baggage Porters, Bellhops, and Concierges",3,3
Concierges,39-6012.00,464.0,"Baggage porters, bellhops and concierges",4530,396010,"Baggage Porters, Bellhops, and Concierges",3,3
Tour Guides and Escorts,39-7011.00,461.0,Guides,4540,397010,Tour and Travel Guides,3,3
Travel Guides,39-7012.00,461.0,Guides,4540,397010,Tour and Travel Guides,3,3
Nannies,39-9011.01,468.0,Childcareworkers,4600,399011,Childcare Workers,3,3
Childcare Workers,39-9011.00,468.0,Childcareworkers,4600,399011,Childcare Workers,3,3
Personal Care Aides,39-9021.00,447.0,Health and nursing aides,4610,399021,Personal Care Aides,3,3
Recreation Workers,39-9032.00,466.0,Recreation and fitness workers,4620,399030,Recreation and Fitness Workers,3,3
Fitness Trainers and Aerobics Instructors,39-9031.00,466.0,Recreation and fitness workers,4620,399030,Recreation and Fitness Workers,3,3
Residential Advisors,39-9041.00,468.0,Childcareworkers,4640,399041,Residential Advisors,3,3
First-Line Supervisors of Retail Sales Workers,41-1011.00,243.0,Sales supervisors and proprietors,4700,411011,First-Line Supervisors of Retail Sales Workers,3,3
First-Line Supervisors of Non-Retail Sales Workers,41-1012.00,243.0,Sales supervisors and proprietors,4710,411012,First-Line Supervisors of Non-Retail Sales,3,3
Gaming Change Persons and Booth Cashiers,41-2012.00,276.0,Cashiers,4720,412010,Cashiers,3,3
Cashiers,41-2011.00,276.0,Cashiers,4720,412010,Cashiers,3,3
Counter and Rental Clerks,41-2021.00,275.0,Sales counter clerks,4740,412021,Counter and Rental Clerks,3,3
Parts Salespersons,41-2022.00,269.0,Parts salesperson,4750,412022,Parts Salespersons,3,3
Retail Salespersons,41-2031.00,270.0,Sales workers,4760,412031,Retail Salespersons,3,3
Advertising Sales Agents,41-3011.00,256.0,Advertising and related sales jobs,4800,413011,Advertising Sales Agents,3,3
Insurance Sales Agents,41-3021.00,253.0,Insurance sales occupations,4810,413021,Insurance Sales Agents,3,3
"Sales Agents, Securities and Commodities",41-3031.01,255.0,Financial service sales occupations,4820,413031,"Securities, Commodities, and Financial Services Sales Agents",3,3
"Sales Agents, Financial Services",41-3031.02,255.0,Financial service sales occupations,4820,413031,"Securities, Commodities, and Financial Services Sales Agents",3,3
Securities and Commodities Traders,41-3031.03,255.0,Financial service sales occupations,4820,413031,"Securities, Commodities, and Financial Services Sales Agents",3,3
Travel Agents,41-3041.00,318.0,Transportation ticket and reservation agents,4830,413041,Travel Agents,3,3
Energy Brokers,41-3099.01,274.0,Sales occupations and sales representatives,4840,413099,"Sales Representatives, Services, All Other",3,3
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-4012.00,274.0,Sales occupations and sales representatives,4850,414010,"Sales Representatives, Wholesale and Manufacturing",3,3
Solar Sales Representatives and Assessors,41-4011.07,274.0,Sales occupations and sales representatives,4850,414010,"Sales Representatives, Wholesale and Manufacturing",3,3
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011.00,274.0,Sales occupations and sales representatives,4850,414010,"Sales Representatives, Wholesale and Manufacturing",3,3
Demonstrators and Product Promoters,41-9011.00,283.0,"Sales demonstrators, promoters, and models",4900,419010,"Models, Demonstrators, and Product Promoters",3,3
Models,41-9012.00,283.0,"Sales demonstrators, promoters, and models",4900,419010,"Models, Demonstrators, and Product Promoters",3,3
Real Estate Brokers,41-9021.00,254.0,Real estate sales occupations,4920,419020,Real Estate Brokers and Sales Agents,3,3
Real Estate Sales Agents,41-9022.00,254.0,Real estate sales occupations,4920,419020,Real Estate Brokers and Sales Agents,3,3
Sales Engineers,41-9031.00,258.0,Sales engineers,4930,419031,Sales Engineers,3,3
Telemarketers,41-9041.00,274.0,Sales occupations and sales representatives,4940,419041,Telemarketers,3,3
"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",41-9091.00,277.0,"Door-to-door sales, street sales, and news vendors",4950,419091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",3,3
First-Line Supervisors of Office and Administrative Support Workers,43-1011.00,303.0,Office supervisors,5000,431011,First-Line Supervisors of Office and Administrative Support Workers,3,3
"Switchboard Operators, Including Answering Service",43-2011.00,348.0,Telephone operators,5010,432011,"Switchboard Operators, Including Answering Service",3,3
Telephone Operators,43-2021.00,348.0,Telephone operators,5020,432021,Telephone Operators,3,3
Bill and Account Collectors,43-3011.00,378.0,Bill and account collectors,5100,433011,Bill and Account Collectors,3,3
Statement Clerks,43-3021.01,344.0,Billing clerks and related financial records processing,5110,433021,Billing and Posting Clerks,3,3
"Billing, Cost, and Rate Clerks",43-3021.02,344.0,Billing clerks and related financial records processing,5110,433021,Billing and Posting Clerks,3,3
"Bookkeeping, Accounting, and Auditing Clerks",43-3031.00,337.0,Bookkeepers and accounting and auditing clerks,5120,433031,"Bookkeeping, Accounting, and Auditing Clerks",3,3
Gaming Cage Workers,43-3041.00,276.0,Cashiers,5130,433041,Gaming Cage Workers,3,3
Payroll and Timekeeping Clerks,43-3051.00,338.0,Payroll and timekeeping clerks,5140,433051,Payroll and Timekeeping Clerks,3,3
Procurement Clerks,43-3061.00,365.0,Stock and inventory clerks,5150,433061,Procurement Clerks,3,3
Tellers,43-3071.00,383.0,Bank tellers,5160,433071,Tellers,3,3
Brokerage Clerks,43-4011.00,336.0,Records clerks,5200,434011,Brokerage Clerks,3,3
Court Clerks,43-4031.01,389.0,"Administrative support jobs, n.e.c.",5220,434031,"Court, Municipal, and License Clerks",3,3
Municipal Clerks,43-4031.02,389.0,"Administrative support jobs, n.e.c.",5220,434031,"Court, Municipal, and License Clerks",3,3
License Clerks,43-4031.03,389.0,"Administrative support jobs, n.e.c.",5220,434031,"Court, Municipal, and License Clerks",3,3
Credit Authorizers,43-4041.01,316.0,"Interviewers, enumerators, and surveyors",5230,434041,"Credit Authorizers, Checkers, and Clerks",3,3
Credit Checkers,43-4041.02,316.0,"Interviewers, enumerators, and surveyors",5230,434041,"Credit Authorizers, Checkers, and Clerks",3,3
Patient Representatives,43-4051.03,376.0,"Customer service reps, invest., adjusters, excl. insur.",5240,434051,Customer Service Representatives,3,3
Customer Service Representatives,43-4051.00,376.0,"Customer service reps, invest., adjusters, excl. insur.",5240,434051,Customer Service Representatives,3,3
"Eligibility Interviewers, Government Programs",43-4061.00,377.0,"Eligibility clerks for government prog., social welfare",5250,434061,"Eligibility Interviewers, Government Programs",3,3
File Clerks,43-4071.00,335.0,File clerks,5260,434071,File Clerks,3,3
"Hotel, Motel, and Resort Desk Clerks",43-4081.00,317.0,Hotel clerks,5300,434081,"Hotel, Motel, and Resort Desk Clerks",3,3
"Interviewers, Except Eligibility and Loan",43-4111.00,316.0,"Interviewers, enumerators, and surveyors",5310,434111,"Interviewers, Except Eligibility and Loan",3,3
"Library Assistants, Clerical",43-4121.00,329.0,Libraryassistants,5320,434121,"Library Assistants, Clerical",3,3
Loan Interviewers and Clerks,43-4131.00,376.0,"Customer service reps, invest., adjusters, excl. insur.",5330,434131,Loan Interviewers and Clerks,3,3
New Accounts Clerks,43-4141.00,316.0,"Interviewers, enumerators, and surveyors",5340,434141,New Account Clerks,3,3
Correspondence Clerks,43-4021.00,326.0,Correspondence and order clerks,5350,434XXX,Correspondent clerks and order clerks,3,3
Order Clerks,43-4151.00,326.0,Correspondence and order clerks,5350,434XXX,Correspondent clerks and order clerks,3,3
"Human Resources Assistants, Except Payroll and Timekeeping",43-4161.00,328.0,"Human resources clerks, excl payroll and timekeeping",5360,434161,"Human Resources Assistants, Except Payroll and Timekeeping",3,3
Receptionists and Information Clerks,43-4171.00,319.0,Receptionists and other information clerks,5400,434171,Receptionists and Information Clerks,3,3
Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,318.0,Transportation ticket and reservation agents,5410,434181,Reservation and Transportation Ticket Agents and Travel Clerks,3,3
Cargo and Freight Agents,43-5011.00,364.0,Shipping and receiving clerks,5500,435011,Cargo and Freight Agents,3,3
Freight Forwarders,43-5011.01,364.0,Shipping and receiving clerks,5500,435011,Cargo and Freight Agents,3,3
Couriers and Messengers,43-5021.00,357.0,Messengers,5510,435021,Couriers and Messengers,3,3
"Police, Fire, and Ambulance Dispatchers",43-5031.00,359.0,Dispatchers,5520,435030,Dispatchers,3,3
"Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,359.0,Dispatchers,5520,435030,Dispatchers,3,3
"Meter Readers, Utilities",43-5041.00,366.0,Meter readers,5530,435041,"Meter Readers, Utilities",3,3
Postal Service Clerks,43-5051.00,354.0,"Postal clerks, exluding mail carriers",5540,435051,Postal Service Clerks,3,3
Postal Service Mail Carriers,43-5052.00,355.0,Mail carriers for postal service,5550,435052,Postal Service Mail Carriers,3,3
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,354.0,"Postal clerks, exluding mail carriers",5560,435053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",3,3
"Production, Planning, and Expediting Clerks",43-5061.00,373.0,"Material recording, sched., prod., plan., expediting cl.",5600,435061,"Production, Planning, and Expediting Clerks",3,3
"Shipping, Receiving, and Traffic Clerks",43-5071.00,364.0,Shipping and receiving clerks,5610,435071,"Shipping, Receiving, and Traffic Clerks",3,3
Marking Clerks,43-5081.02,365.0,Stock and inventory clerks,5620,435081,Stock Clerks and Order Fillers,3,3
"Order Fillers, Wholesale and Retail Sales",43-5081.04,365.0,Stock and inventory clerks,5620,435081,Stock Clerks and Order Fillers,3,3
"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,365.0,Stock and inventory clerks,5620,435081,Stock Clerks and Order Fillers,3,3
"Stock Clerks, Sales Floor",43-5081.01,365.0,Stock and inventory clerks,5620,435081,Stock Clerks and Order Fillers,3,3
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,368.0,"Weighers, measurers, and checkers",5630,435111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",3,3
Legal Secretaries,43-6012.00,313.0,Secretaries and administrative assistants,5700,436010,Secretaries and Administrative Assistants,3,3
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014.00,313.0,Secretaries and administrative assistants,5700,436010,Secretaries and Administrative Assistants,3,3
Medical Secretaries,43-6013.00,313.0,Secretaries and administrative assistants,5700,436010,Secretaries and Administrative Assistants,3,3
Executive Secretaries and Executive Administrative Assistants,43-6011.00,313.0,Secretaries and administrative assistants,5700,436010,Secretaries and Administrative Assistants,3,3
Computer Operators,43-9011.00,308.0,Computer and peripheral equipment operators,5800,439011,Computer Operators,3,3
Data Entry Keyers,43-9021.00,385.0,Data entry keyers,5810,439021,Data Entry Keyers,3,3
Word Processors and Typists,43-9022.00,315.0,Typists,5820,439022,Word Processors and Typists,3,3
Insurance Claims Clerks,43-9041.01,375.0,"Insurance adjusters, examiners, and investigators",5840,439041,Insurance Claims and Policy Processing Clerks,3,3
Insurance Policy Processing Clerks,43-9041.02,375.0,"Insurance adjusters, examiners, and investigators",5840,439041,Insurance Claims and Policy Processing Clerks,3,3
"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,356.0,"Mail clerks, outside of post office",5850,439051,"Mail Clerks and Mail Machine Operators, Except Postal Service",3,3
"Office Clerks, General",43-9061.00,379.0,General office clerks,5860,439061,"Office Clerks, General",3,3
"Office Machine Operators, Except Computer",43-9071.00,347.0,"Office machine operators, n.e.c.",5900,439071,"Office Machine Operators, Except Computer",3,3
Proofreaders and Copy Markers,43-9081.00,384.0,Proofreaders,5910,439081,Proofreaders and Copy Markers,3,3
Bioinformatics Technicians,43-9111.01,386.0,Statistical clerks,5920,439111,Statistical Assistants,3,3
Statistical Assistants,43-9111.00,386.0,Statistical clerks,5920,439111,Statistical Assistants,3,3
Desktop Publishers,43-9031.00,389.0,"Administrative support jobs, n.e.c.",5940,439XXX,Miscellaneous office and administrative support workers including desktop publishers,3,3
First-Line Supervisors of Animal Husbandry and Animal Care Workers,45-1011.08,494.0,"Supervisors, forestry and logging workers",6005,451011,"First-Line Supervisors of farming, fishing, and forestry workers",3,3
First-Line Supervisors of Logging Workers,45-1011.05,494.0,"Supervisors, forestry and logging workers",6005,451011,"First-Line Supervisors of farming, fishing, and forestry workers",3,3
First-Line Supervisors of Agricultural Crop and Horticultural Workers,45-1011.07,494.0,"Supervisors, forestry and logging workers",6005,451011,"First-Line Supervisors of farming, fishing, and forestry workers",3,3
First-Line Supervisors of Aquacultural Workers,45-1011.06,494.0,"Supervisors, forestry and logging workers",6005,451011,"First-Line Supervisors of farming, fishing, and forestry workers",3,3
Agricultural Inspectors,45-2011.00,489.0,Inspectors of agricultural products,6010,452011,Agricultural Inspectors,3,3
"Graders and Sorters, Agricultural Products",45-2041.00,488.0,Graders and sorters of agricultural products,6040,452041,"Graders and Sorters, Agricultural Products",3,3
"Farmworkers, Farm, Ranch, and Aquacultural Animals",45-2093.00,479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",6050,4520XX,Miscellaneous agricultural workers including animal breeders,3,3
Animal Breeders,45-2021.00,479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",6050,4520XX,Miscellaneous agricultural workers including animal breeders,3,3
Agricultural Equipment Operators,45-2091.00,479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",6050,4520XX,Miscellaneous agricultural workers including animal breeders,3,3
"Farmworkers and Laborers, Crop",45-2092.02,479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",6050,4520XX,Miscellaneous agricultural workers including animal breeders,3,3
Nursery Workers,45-2092.01,479.0,"Farm workers, incl. nursery farming, and marine life cultivation workers",6050,4520XX,Miscellaneous agricultural workers including animal breeders,3,3
Fishers and Related Fishing Workers,45-3011.00,498.0,Fishing and hunting workers,6100,453000,Fishing and hunting workers,3,3
Hunters and Trappers,45-3021.00,498.0,Fishing and hunting workers,6100,453000,Fishing and hunting workers,3,3
Forest and Conservation Workers,45-4011.00,496.0,"Timber, logging, and forestry workers",6120,454011,Forest and Conservation Workers,3,3
Fallers,45-4021.00,496.0,"Timber, logging, and forestry workers",6130,454020,Logging Workers,3,3
Logging Equipment Operators,45-4022.00,496.0,"Timber, logging, and forestry workers",6130,454020,Logging Workers,3,3
Log Graders and Scalers,45-4023.00,496.0,"Timber, logging, and forestry workers",6130,454020,Logging Workers,3,3
First-Line Supervisors of Construction Trades and Extraction Workers,47-1011.00,558.0,Supervisors of construction work,6200,471011,First-Line Supervisors of Construction Trades and Extraction Workers,3,3
Solar Energy Installation Managers,47-1011.03,558.0,Supervisors of construction work,6200,471011,First-Line Supervisors of Construction Trades and Extraction Workers,3,3
Boilermakers,47-2011.00,643.0,Boilermakers,6210,472011,Boilermakers,3,3
Brickmasons and Blockmasons,47-2021.00,563.0,"Masons, tilers, and carpet installers",6220,472020,"Brickmasons, Blockmasons, and Stonemasons",3,3
Stonemasons,47-2022.00,563.0,"Masons, tilers, and carpet installers",6220,472020,"Brickmasons, Blockmasons, and Stonemasons",3,3
Rough Carpenters,47-2031.02,567.0,Carpenters,6230,472031,Carpenters,3,3
Construction Carpenters,47-2031.01,567.0,Carpenters,6230,472031,Carpenters,3,3
Tile and Marble Setters,47-2044.00,563.0,"Masons, tilers, and carpet installers",6240,472040,"Carpet, Floor, and Tile Installers and Finishers",3,3
Carpet Installers,47-2041.00,563.0,"Masons, tilers, and carpet installers",6240,472040,"Carpet, Floor, and Tile Installers and Finishers",3,3
Floor Sanders and Finishers,47-2043.00,563.0,"Masons, tilers, and carpet installers",6240,472040,"Carpet, Floor, and Tile Installers and Finishers",3,3
"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042.00,563.0,"Masons, tilers, and carpet installers",6240,472040,"Carpet, Floor, and Tile Installers and Finishers",3,3
Terrazzo Workers and Finishers,47-2053.00,588.0,Concrete and cement workers,6250,472050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",3,3
Cement Masons and Concrete Finishers,47-2051.00,588.0,Concrete and cement workers,6250,472050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",3,3
Construction Laborers,47-2061.00,869.0,Construction laborers,6260,472061,Construction Laborers,3,3
"Paving, Surfacing, and Tamping Equipment Operators",47-2071.00,594.0,"Paving, surfacing, and tamping equipment operators",6300,472071,"Paving, Surfacing, and Tamping Equipment Operators",3,3
Operating Engineers and Other Construction Equipment Operators,47-2073.00,844.0,Operating engineers of construction equipment,6320,47207X,"Construction equipment operators except paving, surfacing, and tamping equipment operators",3,3
Pile-Driver Operators,47-2072.00,844.0,Operating engineers of construction equipment,6320,47207X,"Construction equipment operators except paving, surfacing, and tamping equipment operators",3,3
Tapers,47-2082.00,573.0,Drywall installers,6330,472080,"Drywall Installers, Ceiling Tile Installers, and Tapers",3,3
Drywall and Ceiling Tile Installers,47-2081.00,573.0,Drywall installers,6330,472080,"Drywall Installers, Ceiling Tile Installers, and Tapers",3,3
Electricians,47-2111.00,575.0,Electricians,6355,472111,Electricians,3,3
Glaziers,47-2121.00,589.0,Glaziers,6360,472121,Glaziers,3,3
